País,Año,Horas,Metrica,Porcentaje_x,Red,Porcentaje_y
Argentina,2013.0,2.49,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2013.0,2.49,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2013.0,2.49,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2013.0,2.49,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2013.0,2.49,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2013.0,2.49,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2013.0,2.49,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2013.0,2.49,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2013.0,2.49,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2013.0,2.49,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2013.0,2.49,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2013.0,2.49,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2013.0,2.49,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2013.0,2.49,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2013.0,2.49,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2013.0,2.49,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2013.0,2.49,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2013.0,2.49,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2013.0,2.49,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2013.0,2.49,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2013.0,2.49,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
